Epoche; Stil; Zeitalter
Griechische Antike; Geometrischer Stil; ca. 1000 - 680 v. Chr.
Griechische Antike; Archaischer Stil; ca. 700 - 480 v. Chr.
Griechische Antike; Klassischer Stil; ca. 480 - 330 v. Chr.
Griechische Antike; Hellenistischer Stil; ca. 330 v. Chr.  -  0
Römische und frühchristliche Kunst; Republikanische Zeit; ca. 200 v. Chr. - 40 v. Chr
Römische und frühchristliche Kunst; Kaiserzeit; ca. 40 v. Chr. - 320 n. Chr
Römische und frühchristliche Kunst; Frühchristliche Zeit; ca. 340 - 600 n. Chr.
Mittelalterliche Malerei; Frühes Mittelalter; ca. 780 - 1000 n. Chr.
Mittelalterliche Malerei; Romantik; ca. 1050 - 1250 n. Chr.
Mittelalterliche Malerei; Gotik; ab ca. 1150 (Baukunst) / 1250 (Malerei) - ca. 1480 (in Deutschland)
Neuzeitliche Kunstrichtungen; Renaissance; 16. Jahrhundert: In Italien etwa ab 1400 beginnend, in Deutschland ab ca. 1470
Neuzeitliche Kunstrichtungen; Manierismus; ca. ab 1520 bis ca. 1580
Neuzeitliche Kunstrichtungen; Barock
Begin der Moderne / 19. Jahrhundert; Klassizismus; ca. 1750 - 1830
Begin der Moderne / 19. Jahrhundert; Romantik; ca. 1790 - 1840
Begin der Moderne / 19. Jahrhundert; Biedermeier; ca. 1815 - 1848
Begin der Moderne / 19. Jahrhundert; Präfaffaeliten; 1848 - 1852, darüber hinaus bis zur Jahrhunderwende
Begin der Moderne / 19. Jahrhundert; Realismus; ca. 1850 - 1880
Begin der Moderne / 19. Jahrhundert; Impressionismus; ca. 1850 - 1890, darüber hinausgehend bis ins 20. Jahrhundert
Begin der Moderne / 19. Jahrhundert; Jugendstil; um 1890 - 1910
Moderne / 20. Jahrhundert; Expressionismus; vor dem ersten Weltkrieg;
Moderne / 20. Jahrhundert; Kubismus;  vor dem ersten Weltkrieg
Moderne / 20. Jahrhundert; Futurismus;  vor dem ersten Weltkrieg
Moderne / 20. Jahrhundert; Neue Sachlichkeit / Magischer Realismus; Die 20er Jahre
Moderne / 20. Jahrhundert; Surrealismus; Die 20er Jahre
Moderne / 20. Jahrhundert; 'Kunst' im Faschismus; 1933 - 1945
Moderne / 20. Jahrhundert; Abstrakter Expressionismus; Die 50er Jahre
Moderne / 20. Jahrhundert; Informel; Die 50er Jahre
Moderne / 20. Jahrhundert; Pop Art; Die 60er und 70er Jahre
Moderne / 20. Jahrhundert; Op Art; Die 60er und 70er Jahre
Moderne / 20. Jahrhundert; Land Art; Die 60er und 70er Jahre
Moderne / 20. Jahrhundert; Neue Wilde; Postmoderne
